Layer                                                                                                          Dtype                 Size (MB) Shape                         
first_stage_model.decoder.norm_out.bias                                                                        torch.float16             0.000 torch.Size([128])             
first_stage_model.decoder.norm_out.weight                                                                      torch.float16             0.000 torch.Size([128])             
first_stage_model.decoder.up.0.block.0.conv1.bias                                                              torch.float16             0.000 torch.Size([128])             
first_stage_model.decoder.up.0.block.0.conv1.weight                                                            torch.float16             0.562 torch.Size([128, 256, 3, 3])  
first_stage_model.decoder.up.0.block.0.conv2.bias                                                              torch.float16             0.000 torch.Size([128])             
first_stage_model.decoder.up.0.block.0.conv2.weight                                                            torch.float16             0.281 torch.Size([128, 128, 3, 3])  
first_stage_model.decoder.up.0.block.0.nin_shortcut.bias                                                       torch.float16             0.000 torch.Size([128])             
first_stage_model.decoder.up.0.block.0.nin_shortcut.weight                                                     torch.float16             0.062 torch.Size([128, 256, 1, 1])  
first_stage_model.decoder.up.0.block.0.norm1.bias                                                              torch.float16             0.000 torch.Size([256])             
first_stage_model.decoder.up.0.block.0.norm1.weight                                                            torch.float16             0.000 torch.Size([256])             
first_stage_model.decoder.up.0.block.0.norm2.bias                                                              torch.float16             0.000 torch.Size([128])             
first_stage_model.decoder.up.0.block.0.norm2.weight                                                            torch.float16             0.000 torch.Size([128])             
first_stage_model.decoder.up.0.block.1.conv1.bias                                                              torch.float16             0.000 torch.Size([128])             
first_stage_model.decoder.up.0.block.1.conv1.weight                                                            torch.float16             0.281 torch.Size([128, 128, 3, 3])  
first_stage_model.decoder.up.0.block.1.conv2.bias                                                              torch.float16             0.000 torch.Size([128])             
first_stage_model.decoder.up.0.block.1.conv2.weight                                                            torch.float16             0.281 torch.Size([128, 128, 3, 3])  
first_stage_model.decoder.up.0.block.1.norm1.bias                                                              torch.float16             0.000 torch.Size([128])             
first_stage_model.decoder.up.0.block.1.norm1.weight                                                            torch.float16             0.000 torch.Size([128])             
first_stage_model.decoder.up.0.block.1.norm2.bias                                                              torch.float16             0.000 torch.Size([128])             
first_stage_model.decoder.up.0.block.1.norm2.weight                                                            torch.float16             0.000 torch.Size([128])             
first_stage_model.decoder.up.0.block.2.conv1.bias                                                              torch.float16             0.000 torch.Size([128])             
first_stage_model.decoder.up.0.block.2.conv1.weight                                                            torch.float16             0.281 torch.Size([128, 128, 3, 3])  
first_stage_model.decoder.up.0.block.2.conv2.bias                                                              torch.float16             0.000 torch.Size([128])             
first_stage_model.decoder.up.0.block.2.conv2.weight                                                            torch.float16             0.281 torch.Size([128, 128, 3, 3])  
first_stage_model.decoder.up.0.block.2.norm1.bias                                                              torch.float16             0.000 torch.Size([128])             
first_stage_model.decoder.up.0.block.2.norm1.weight                                                            torch.float16             0.000 torch.Size([128])             
first_stage_model.decoder.up.0.block.2.norm2.bias                                                              torch.float16             0.000 torch.Size([128])             
first_stage_model.decoder.up.0.block.2.norm2.weight                                                            torch.float16             0.000 torch.Size([128])             
first_stage_model.decoder.up.1.block.0.conv1.bias                                                              torch.float16             0.000 torch.Size([256])             
first_stage_model.decoder.up.1.block.0.conv1.weight                                                            torch.float16             2.250 torch.Size([256, 512, 3, 3])  
first_stage_model.decoder.up.1.block.0.conv2.bias                                                              torch.float16             0.000 torch.Size([256])             
first_stage_model.decoder.up.1.block.0.conv2.weight                                                            torch.float16             1.125 torch.Size([256, 256, 3, 3])  
first_stage_model.decoder.up.1.block.0.nin_shortcut.bias                                                       torch.float16             0.000 torch.Size([256])             
first_stage_model.decoder.up.1.block.0.nin_shortcut.weight                                                     torch.float16             0.250 torch.Size([256, 512, 1, 1])  
first_stage_model.decoder.up.1.block.0.norm1.bias                                                              torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.up.1.block.0.norm1.weight                                                            torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.up.1.block.0.norm2.bias                                                              torch.float16             0.000 torch.Size([256])             
first_stage_model.decoder.up.1.block.0.norm2.weight                                                            torch.float16             0.000 torch.Size([256])             
first_stage_model.decoder.up.1.block.1.conv1.bias                                                              torch.float16             0.000 torch.Size([256])             
first_stage_model.decoder.up.1.block.1.conv1.weight                                                            torch.float16             1.125 torch.Size([256, 256, 3, 3])  
first_stage_model.decoder.up.1.block.1.conv2.bias                                                              torch.float16             0.000 torch.Size([256])             
first_stage_model.decoder.up.1.block.1.conv2.weight                                                            torch.float16             1.125 torch.Size([256, 256, 3, 3])  
first_stage_model.decoder.up.1.block.1.norm1.bias                                                              torch.float16             0.000 torch.Size([256])             
first_stage_model.decoder.up.1.block.1.norm1.weight                                                            torch.float16             0.000 torch.Size([256])             
first_stage_model.decoder.up.1.block.1.norm2.bias                                                              torch.float16             0.000 torch.Size([256])             
first_stage_model.decoder.up.1.block.1.norm2.weight                                                            torch.float16             0.000 torch.Size([256])             
first_stage_model.decoder.up.1.block.2.conv1.bias                                                              torch.float16             0.000 torch.Size([256])             
first_stage_model.decoder.up.1.block.2.conv1.weight                                                            torch.float16             1.125 torch.Size([256, 256, 3, 3])  
first_stage_model.decoder.up.1.block.2.conv2.bias                                                              torch.float16             0.000 torch.Size([256])             
first_stage_model.decoder.up.1.block.2.conv2.weight                                                            torch.float16             1.125 torch.Size([256, 256, 3, 3])  
first_stage_model.decoder.up.1.block.2.norm1.bias                                                              torch.float16             0.000 torch.Size([256])             
first_stage_model.decoder.up.1.block.2.norm1.weight                                                            torch.float16             0.000 torch.Size([256])             
first_stage_model.decoder.up.1.block.2.norm2.bias                                                              torch.float16             0.000 torch.Size([256])             
first_stage_model.decoder.up.1.block.2.norm2.weight                                                            torch.float16             0.000 torch.Size([256])             
first_stage_model.decoder.up.1.upsample.conv.bias                                                              torch.float16             0.000 torch.Size([256])             
first_stage_model.decoder.up.1.upsample.conv.weight                                                            torch.float16             1.125 torch.Size([256, 256, 3, 3])  
first_stage_model.decoder.up.2.block.0.conv1.bias                                                              torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.up.2.block.0.conv1.weight                                                            torch.float16             4.500 torch.Size([512, 512, 3, 3])  
first_stage_model.decoder.up.2.block.0.conv2.bias                                                              torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.up.2.block.0.conv2.weight                                                            torch.float16             4.500 torch.Size([512, 512, 3, 3])  
first_stage_model.decoder.up.2.block.0.norm1.bias                                                              torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.up.2.block.0.norm1.weight                                                            torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.up.2.block.0.norm2.bias                                                              torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.up.2.block.0.norm2.weight                                                            torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.up.2.block.1.conv1.bias                                                              torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.up.2.block.1.conv1.weight                                                            torch.float16             4.500 torch.Size([512, 512, 3, 3])  
first_stage_model.decoder.up.2.block.1.conv2.bias                                                              torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.up.2.block.1.conv2.weight                                                            torch.float16             4.500 torch.Size([512, 512, 3, 3])  
first_stage_model.decoder.up.2.block.1.norm1.bias                                                              torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.up.2.block.1.norm1.weight                                                            torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.up.2.block.1.norm2.bias                                                              torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.up.2.block.1.norm2.weight                                                            torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.up.2.block.2.conv1.bias                                                              torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.up.2.block.2.conv1.weight                                                            torch.float16             4.500 torch.Size([512, 512, 3, 3])  
first_stage_model.decoder.up.2.block.2.conv2.bias                                                              torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.up.2.block.2.conv2.weight                                                            torch.float16             4.500 torch.Size([512, 512, 3, 3])  
first_stage_model.decoder.up.2.block.2.norm1.bias                                                              torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.up.2.block.2.norm1.weight                                                            torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.up.2.block.2.norm2.bias                                                              torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.up.2.block.2.norm2.weight                                                            torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.up.2.upsample.conv.bias                                                              torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.up.2.upsample.conv.weight                                                            torch.float16             4.500 torch.Size([512, 512, 3, 3])  
first_stage_model.decoder.up.3.block.0.conv1.bias                                                              torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.up.3.block.0.conv1.weight                                                            torch.float16             4.500 torch.Size([512, 512, 3, 3])  
first_stage_model.decoder.up.3.block.0.conv2.bias                                                              torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.up.3.block.0.conv2.weight                                                            torch.float16             4.500 torch.Size([512, 512, 3, 3])  
first_stage_model.decoder.up.3.block.0.norm1.bias                                                              torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.up.3.block.0.norm1.weight                                                            torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.up.3.block.0.norm2.bias                                                              torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.up.3.block.0.norm2.weight                                                            torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.up.3.block.1.conv1.bias                                                              torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.up.3.block.1.conv1.weight                                                            torch.float16             4.500 torch.Size([512, 512, 3, 3])  
first_stage_model.decoder.up.3.block.1.conv2.bias                                                              torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.up.3.block.1.conv2.weight                                                            torch.float16             4.500 torch.Size([512, 512, 3, 3])  
first_stage_model.decoder.up.3.block.1.norm1.bias                                                              torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.up.3.block.1.norm1.weight                                                            torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.up.3.block.1.norm2.bias                                                              torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.up.3.block.1.norm2.weight                                                            torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.up.3.block.2.conv1.bias                                                              torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.up.3.block.2.conv1.weight                                                            torch.float16             4.500 torch.Size([512, 512, 3, 3])  
first_stage_model.decoder.up.3.block.2.conv2.bias                                                              torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.up.3.block.2.conv2.weight                                                            torch.float16             4.500 torch.Size([512, 512, 3, 3])  
first_stage_model.decoder.up.3.block.2.norm1.bias                                                              torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.up.3.block.2.norm1.weight                                                            torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.up.3.block.2.norm2.bias                                                              torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.up.3.block.2.norm2.weight                                                            torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.up.3.upsample.conv.bias                                                              torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.up.3.upsample.conv.weight                                                            torch.float16             4.500 torch.Size([512, 512, 3, 3])  
first_stage_model.encoder.conv_in.bias                                                                         torch.float16             0.000 torch.Size([128])             
first_stage_model.encoder.conv_in.weight                                                                       torch.float16             0.007 torch.Size([128, 3, 3, 3])    
first_stage_model.encoder.conv_out.bias                                                                        torch.float16             0.000 torch.Size([32])              
first_stage_model.encoder.conv_out.weight                                                                      torch.float16             0.281 torch.Size([32, 512, 3, 3])   
first_stage_model.encoder.down.0.block.0.conv1.bias                                                            torch.float16             0.000 torch.Size([128])             
first_stage_model.encoder.down.0.block.0.conv1.weight                                                          torch.float16             0.281 torch.Size([128, 128, 3, 3])  
first_stage_model.encoder.down.0.block.0.conv2.bias                                                            torch.float16             0.000 torch.Size([128])             
first_stage_model.encoder.down.0.block.0.conv2.weight                                                          torch.float16             0.281 torch.Size([128, 128, 3, 3])  
first_stage_model.encoder.down.0.block.0.norm1.bias                                                            torch.float16             0.000 torch.Size([128])             
first_stage_model.encoder.down.0.block.0.norm1.weight                                                          torch.float16             0.000 torch.Size([128])             
first_stage_model.encoder.down.0.block.0.norm2.bias                                                            torch.float16             0.000 torch.Size([128])             
first_stage_model.encoder.down.0.block.0.norm2.weight                                                          torch.float16             0.000 torch.Size([128])             
first_stage_model.encoder.down.0.block.1.conv1.bias                                                            torch.float16             0.000 torch.Size([128])             
first_stage_model.encoder.down.0.block.1.conv1.weight                                                          torch.float16             0.281 torch.Size([128, 128, 3, 3])  
first_stage_model.encoder.down.0.block.1.conv2.bias                                                            torch.float16             0.000 torch.Size([128])             
first_stage_model.encoder.down.0.block.1.conv2.weight                                                          torch.float16             0.281 torch.Size([128, 128, 3, 3])  
first_stage_model.encoder.down.0.block.1.norm1.bias                                                            torch.float16             0.000 torch.Size([128])             
first_stage_model.encoder.down.0.block.1.norm1.weight                                                          torch.float16             0.000 torch.Size([128])             
first_stage_model.encoder.down.0.block.1.norm2.bias                                                            torch.float16             0.000 torch.Size([128])             
first_stage_model.encoder.down.0.block.1.norm2.weight                                                          torch.float16             0.000 torch.Size([128])             
first_stage_model.encoder.down.0.downsample.conv.bias                                                          torch.float16             0.000 torch.Size([128])             
first_stage_model.encoder.down.0.downsample.conv.weight                                                        torch.float16             0.281 torch.Size([128, 128, 3, 3])  
first_stage_model.encoder.down.1.block.0.conv1.bias                                                            torch.float16             0.000 torch.Size([256])             
first_stage_model.encoder.down.1.block.0.conv1.weight                                                          torch.float16             0.562 torch.Size([256, 128, 3, 3])  
first_stage_model.encoder.down.1.block.0.conv2.bias                                                            torch.float16             0.000 torch.Size([256])             
first_stage_model.encoder.down.1.block.0.conv2.weight                                                          torch.float16             1.125 torch.Size([256, 256, 3, 3])  
first_stage_model.encoder.down.1.block.0.nin_shortcut.bias                                                     torch.float16             0.000 torch.Size([256])             
first_stage_model.encoder.down.1.block.0.nin_shortcut.weight                                                   torch.float16             0.062 torch.Size([256, 128, 1, 1])  
first_stage_model.encoder.down.1.block.0.norm1.bias                                                            torch.float16             0.000 torch.Size([128])             
first_stage_model.encoder.down.1.block.0.norm1.weight                                                          torch.float16             0.000 torch.Size([128])             
first_stage_model.encoder.down.1.block.0.norm2.bias                                                            torch.float16             0.000 torch.Size([256])             
first_stage_model.encoder.down.1.block.0.norm2.weight                                                          torch.float16             0.000 torch.Size([256])             
first_stage_model.encoder.down.1.block.1.conv1.bias                                                            torch.float16             0.000 torch.Size([256])             
first_stage_model.encoder.down.1.block.1.conv1.weight                                                          torch.float16             1.125 torch.Size([256, 256, 3, 3])  
first_stage_model.encoder.down.1.block.1.conv2.bias                                                            torch.float16             0.000 torch.Size([256])             
first_stage_model.encoder.down.1.block.1.conv2.weight                                                          torch.float16             1.125 torch.Size([256, 256, 3, 3])  
first_stage_model.encoder.down.1.block.1.norm1.bias                                                            torch.float16             0.000 torch.Size([256])             
first_stage_model.encoder.down.1.block.1.norm1.weight                                                          torch.float16             0.000 torch.Size([256])             
first_stage_model.encoder.down.1.block.1.norm2.bias                                                            torch.float16             0.000 torch.Size([256])             
first_stage_model.encoder.down.1.block.1.norm2.weight                                                          torch.float16             0.000 torch.Size([256])             
first_stage_model.encoder.down.1.downsample.conv.bias                                                          torch.float16             0.000 torch.Size([256])             
first_stage_model.encoder.down.1.downsample.conv.weight                                                        torch.float16             1.125 torch.Size([256, 256, 3, 3])  
first_stage_model.encoder.down.2.block.0.conv1.bias                                                            torch.float16             0.001 torch.Size([512])             
first_stage_model.encoder.down.2.block.0.conv1.weight                                                          torch.float16             2.250 torch.Size([512, 256, 3, 3])  
first_stage_model.encoder.down.2.block.0.conv2.bias                                                            torch.float16             0.001 torch.Size([512])             
first_stage_model.encoder.down.2.block.0.conv2.weight                                                          torch.float16             4.500 torch.Size([512, 512, 3, 3])  
first_stage_model.encoder.down.2.block.0.nin_shortcut.bias                                                     torch.float16             0.001 torch.Size([512])             
first_stage_model.encoder.down.2.block.0.nin_shortcut.weight                                                   torch.float16             0.250 torch.Size([512, 256, 1, 1])  
first_stage_model.encoder.down.2.block.0.norm1.bias                                                            torch.float16             0.000 torch.Size([256])             
first_stage_model.encoder.down.2.block.0.norm1.weight                                                          torch.float16             0.000 torch.Size([256])             
first_stage_model.encoder.down.2.block.0.norm2.bias                                                            torch.float16             0.001 torch.Size([512])             
first_stage_model.encoder.down.2.block.0.norm2.weight                                                          torch.float16             0.001 torch.Size([512])             
first_stage_model.encoder.down.2.block.1.conv1.bias                                                            torch.float16             0.001 torch.Size([512])             
first_stage_model.encoder.down.2.block.1.conv1.weight                                                          torch.float16             4.500 torch.Size([512, 512, 3, 3])  
first_stage_model.encoder.down.2.block.1.conv2.bias                                                            torch.float16             0.001 torch.Size([512])             
first_stage_model.encoder.down.2.block.1.conv2.weight                                                          torch.float16             4.500 torch.Size([512, 512, 3, 3])  
first_stage_model.encoder.down.2.block.1.norm1.bias                                                            torch.float16             0.001 torch.Size([512])             
first_stage_model.encoder.down.2.block.1.norm1.weight                                                          torch.float16             0.001 torch.Size([512])             
first_stage_model.encoder.down.2.block.1.norm2.bias                                                            torch.float16             0.001 torch.Size([512])             
first_stage_model.encoder.down.2.block.1.norm2.weight                                                          torch.float16             0.001 torch.Size([512])             
first_stage_model.encoder.down.2.downsample.conv.bias                                                          torch.float16             0.001 torch.Size([512])             
first_stage_model.encoder.down.2.downsample.conv.weight                                                        torch.float16             4.500 torch.Size([512, 512, 3, 3])  
first_stage_model.encoder.down.3.block.0.conv1.bias                                                            torch.float16             0.001 torch.Size([512])             
first_stage_model.encoder.down.3.block.0.conv1.weight                                                          torch.float16             4.500 torch.Size([512, 512, 3, 3])  
first_stage_model.encoder.down.3.block.0.conv2.bias                                                            torch.float16             0.001 torch.Size([512])             
first_stage_model.encoder.down.3.block.0.conv2.weight                                                          torch.float16             4.500 torch.Size([512, 512, 3, 3])  
first_stage_model.encoder.down.3.block.0.norm1.bias                                                            torch.float16             0.001 torch.Size([512])             
first_stage_model.encoder.down.3.block.0.norm1.weight                                                          torch.float16             0.001 torch.Size([512])             
first_stage_model.encoder.down.3.block.0.norm2.bias                                                            torch.float16             0.001 torch.Size([512])             
first_stage_model.encoder.down.3.block.0.norm2.weight                                                          torch.float16             0.001 torch.Size([512])             
first_stage_model.encoder.down.3.block.1.conv1.bias                                                            torch.float16             0.001 torch.Size([512])             
first_stage_model.encoder.down.3.block.1.conv1.weight                                                          torch.float16             4.500 torch.Size([512, 512, 3, 3])  
first_stage_model.encoder.down.3.block.1.conv2.bias                                                            torch.float16             0.001 torch.Size([512])             
first_stage_model.encoder.down.3.block.1.conv2.weight                                                          torch.float16             4.500 torch.Size([512, 512, 3, 3])  
first_stage_model.encoder.down.3.block.1.norm1.bias                                                            torch.float16             0.001 torch.Size([512])             
first_stage_model.encoder.down.3.block.1.norm1.weight                                                          torch.float16             0.001 torch.Size([512])             
first_stage_model.encoder.down.3.block.1.norm2.bias                                                            torch.float16             0.001 torch.Size([512])             
first_stage_model.encoder.down.3.block.1.norm2.weight                                                          torch.float16             0.001 torch.Size([512])             
first_stage_model.encoder.mid.attn_1.k.bias                                                                    torch.float16             0.001 torch.Size([512])             
first_stage_model.encoder.mid.attn_1.k.weight                                                                  torch.float16             0.500 torch.Size([512, 512, 1, 1])  
first_stage_model.encoder.mid.attn_1.norm.bias                                                                 torch.float16             0.001 torch.Size([512])             
first_stage_model.encoder.mid.attn_1.norm.weight                                                               torch.float16             0.001 torch.Size([512])             
first_stage_model.encoder.mid.attn_1.proj_out.bias                                                             torch.float16             0.001 torch.Size([512])             
first_stage_model.encoder.mid.attn_1.proj_out.weight                                                           torch.float16             0.500 torch.Size([512, 512, 1, 1])  
first_stage_model.encoder.mid.attn_1.q.bias                                                                    torch.float16             0.001 torch.Size([512])             
first_stage_model.encoder.mid.attn_1.q.weight                                                                  torch.float16             0.500 torch.Size([512, 512, 1, 1])  
first_stage_model.encoder.mid.attn_1.v.bias                                                                    torch.float16             0.001 torch.Size([512])             
first_stage_model.encoder.mid.attn_1.v.weight                                                                  torch.float16             0.500 torch.Size([512, 512, 1, 1])  
first_stage_model.encoder.mid.block_1.conv1.bias                                                               torch.float16             0.001 torch.Size([512])             
first_stage_model.encoder.mid.block_1.conv1.weight                                                             torch.float16             4.500 torch.Size([512, 512, 3, 3])  
first_stage_model.encoder.mid.block_1.conv2.bias                                                               torch.float16             0.001 torch.Size([512])             
first_stage_model.encoder.mid.block_1.conv2.weight                                                             torch.float16             4.500 torch.Size([512, 512, 3, 3])  
first_stage_model.encoder.mid.block_1.norm1.bias                                                               torch.float16             0.001 torch.Size([512])             
first_stage_model.encoder.mid.block_1.norm1.weight                                                             torch.float16             0.001 torch.Size([512])             
first_stage_model.encoder.mid.block_1.norm2.bias                                                               torch.float16             0.001 torch.Size([512])             
first_stage_model.encoder.mid.block_1.norm2.weight                                                             torch.float16             0.001 torch.Size([512])             
first_stage_model.encoder.mid.block_2.conv1.bias                                                               torch.float16             0.001 torch.Size([512])             
first_stage_model.encoder.mid.block_2.conv1.weight                                                             torch.float16             4.500 torch.Size([512, 512, 3, 3])  
first_stage_model.encoder.mid.block_2.conv2.bias                                                               torch.float16             0.001 torch.Size([512])             
first_stage_model.encoder.mid.block_2.conv2.weight                                                             torch.float16             4.500 torch.Size([512, 512, 3, 3])  
first_stage_model.encoder.mid.block_2.norm1.bias                                                               torch.float16             0.001 torch.Size([512])             
first_stage_model.encoder.mid.block_2.norm1.weight                                                             torch.float16             0.001 torch.Size([512])             
first_stage_model.encoder.mid.block_2.norm2.bias                                                               torch.float16             0.001 torch.Size([512])             
first_stage_model.encoder.mid.block_2.norm2.weight                                                             torch.float16             0.001 torch.Size([512])             
first_stage_model.encoder.norm_out.bias                                                                        torch.float16             0.001 torch.Size([512])             
first_stage_model.encoder.norm_out.weight                                                                      torch.float16             0.001 torch.Size([512])             
model.diffusion_model.context_embedder.bias                                                                    torch.float16             0.003 torch.Size([1536])            
model.diffusion_model.context_embedder.weight                                                                  torch.float16            12.000 torch.Size([1536, 4096])      
model.diffusion_model.final_layer.adaLN_modulation.1.bias                                                      torch.float16             0.006 torch.Size([3072])            
model.diffusion_model.final_layer.adaLN_modulation.1.weight                                                    torch.float16             9.000 torch.Size([3072, 1536])      
model.diffusion_model.final_layer.linear.bias                                                                  torch.float16             0.000 torch.Size([64])              
model.diffusion_model.final_layer.linear.weight                                                                torch.float16             0.188 torch.Size([64, 1536])        
model.diffusion_model.joint_blocks.0.context_block.adaLN_modulation.1.bias                                     torch.float16             0.018 torch.Size([9216])            
model.diffusion_model.joint_blocks.0.context_block.adaLN_modulation.1.weight                                   torch.float16            27.000 torch.Size([9216, 1536])      
model.diffusion_model.joint_blocks.0.context_block.attn.proj.bias                                              torch.float16             0.003 torch.Size([1536])            
model.diffusion_model.joint_blocks.0.context_block.attn.proj.weight                                            torch.float16             4.500 torch.Size([1536, 1536])      
model.diffusion_model.joint_blocks.0.context_block.attn.qkv.bias                                               torch.float16             0.009 torch.Size([4608])            
model.diffusion_model.joint_blocks.0.context_block.attn.qkv.weight                                             torch.float16            13.500 torch.Size([4608, 1536])      
model.diffusion_model.joint_blocks.0.context_block.mlp.fc1.bias                                                torch.float16             0.012 torch.Size([6144])            
